Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,Thảo Score,Thảo Stocks,Thảo Stocks Const,Thảo Open,Thảo Noble,Thảo Upsite Down,Trang Score,Trang Stocks,Trang Stocks Const,Trang Open,Trang Noble,Trang Upsite Down,NA Score,NA Stocks,NA Stocks Const,NA Open,NA Noble,NA Upsite Down,Hieu Score,Hieu Stocks,Hieu Stocks Const,Hieu Open,Hieu Noble,Hieu Upsite Down
"{'red': 7, 'blue': 7, 'green': 7, 'white': 7, 'black': 7, 'auto_color': 5}","[7, 40, 6, 23]","[68, 42, 41, 51]","[79, 85, 73, 90]","[95, 97, 99, 96, 91]","[10, 28, 25, 9, 1, 38, 18, 31, 34, 27, 26, 20, 32, 29, 12, 24, 17, 3, 39, 14, 2, 33, 13, 35, 15, 5, 11, 22, 4, 30, 36, 16, 21, 37, 8, 19]","[57, 64, 55, 62, 54, 56, 61, 50, 47, 45, 49, 52, 67, 66, 59, 69, 60, 53, 48, 44, 70, 43, 58, 65, 63, 46]","[77, 71, 84, 80, 88, 87, 81, 83, 75, 78, 89, 74, 82, 76, 86, 72]","[100, 98, 94, 92, 93]",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 5, 'blue': 3, 'green': 5, 'white': 7, 'black': 7, 'auto_color': 4}","[7, 40, 6, 23]","[68, 57, 41, 51]","[79, 85, 73, 90]","[95, 97, 99, 96, 91]","[10, 28, 25, 9, 1, 38, 18, 31, 34, 27, 26, 20, 32, 29, 12, 24, 17, 3, 39, 14, 2, 33, 13, 35, 15, 5, 11, 22, 4, 30, 36, 16, 21, 37, 8, 19]","[64, 55, 62, 54, 56, 61, 50, 47, 45, 49, 52, 67, 66, 59, 69, 60, 53, 48, 44, 70, 43, 58, 65, 63, 46]","[77, 71, 84, 80, 88, 87, 81, 83, 75, 78, 89, 74, 82, 76, 86, 72]","[100, 98, 94, 92, 93]",0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[42],0,"{'red': 0, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 3, 'blue': 0, 'green': 2, 'white': 6, 'black': 7, 'auto_color': 3}","[7, 40, 6, 23]","[68, 64, 41, 51]","[79, 85, 73, 90]","[95, 97, 99, 96, 91]","[10, 28, 25, 9, 1, 38, 18, 31, 34, 27, 26, 20, 32, 29, 12, 24, 17, 3, 39, 14, 2, 33, 13, 35, 15, 5, 11, 22, 4, 30, 36, 16, 21, 37, 8, 19]","[55, 62, 54, 56, 61, 50, 47, 45, 49, 52, 67, 66, 59, 69, 60, 53, 48, 44, 70, 43, 58, 65, 63, 46]","[77, 71, 84, 80, 88, 87, 81, 83, 75, 78, 89, 74, 82, 76, 86, 72]","[100, 98, 94, 92, 93]",0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 57]",0,"{'red': 0, 'blue': 3, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 1, 'blue': 0, 'green': 0, 'white': 3, 'black': 5, 'auto_color': 3}","[7, 40, 6, 23]","[68, 64, 41, 51]","[79, 85, 73, 90]","[95, 97, 99, 96, 91]","[10, 28, 25, 9, 1, 38, 18, 31, 34, 27, 26, 20, 32, 29, 12, 24, 17, 3, 39, 14, 2, 33, 13, 35, 15, 5, 11, 22, 4, 30, 36, 16, 21, 37, 8, 19]","[55, 62, 54, 56, 61, 50, 47, 45, 49, 52, 67, 66, 59, 69, 60, 53, 48, 44, 70, 43, 58, 65, 63, 46]","[77, 71, 84, 80, 88, 87, 81, 83, 75, 78, 89, 74, 82, 76, 86, 72]","[100, 98, 94, 92, 93]",0,"{'red': 3, 'blue': 2, 'green': 2, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 57]",0,"{'red': 0, 'blue': 3, 'green': 2, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 3, 'blue': 2, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 5, 'blue': 0, 'green': 2, 'white': 4, 'black': 5, 'auto_color': 3}","[28, 40, 10, 23]","[68, 64, 41, 51]","[79, 85, 73, 90]","[95, 97, 99, 96, 91]","[25, 9, 1, 38, 18, 31, 34, 27, 26, 20, 32, 29, 12, 24, 17, 3, 39, 14, 2, 33, 13, 35, 15, 5, 11, 22, 4, 30, 36, 16, 21, 37, 8, 19]","[55, 62, 54, 56, 61, 50, 47, 45, 49, 52, 67, 66, 59, 69, 60, 53, 48, 44, 70, 43, 58, 65, 63, 46]","[77, 71, 84, 80, 88, 87, 81, 83, 75, 78, 89, 74, 82, 76, 86, 72]","[100, 98, 94, 92, 93]",0,"{'red': 0, 'blue': 2, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[7],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 57]",0,"{'red': 0, 'blue': 4, 'green': 2, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 1, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[6],[],[]
"{'red': 3, 'blue': 3, 'green': 2, 'white': 4, 'black': 5, 'auto_color': 3}","[28, 40, 10, 23]","[68, 64, 41, 55]","[79, 85, 73, 90]","[95, 97, 99, 96, 91]","[25, 9, 1, 38, 18, 31, 34, 27, 26, 20, 32, 29, 12, 24, 17, 3, 39, 14, 2, 33, 13, 35, 15, 5, 11, 22, 4, 30, 36, 16, 21, 37, 8, 19]","[62, 54, 56, 61, 50, 47, 45, 49, 52, 67, 66, 59, 69, 60, 53, 48, 44, 70, 43, 58, 65, 63, 46]","[77, 71, 84, 80, 88, 87, 81, 83, 75, 78, 89, 74, 82, 76, 86, 72]","[100, 98, 94, 92, 93]",0,"{'red': 1, 'blue': 3, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[7],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 57]",2,"{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[51],[],[],0,"{'red': 3, 'blue': 1, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[6],[],[]
"{'red': 6, 'blue': 3, 'green': 1, 'white': 5, 'black': 5, 'auto_color': 3}","[9, 40, 10, 23]","[68, 64, 41, 55]","[79, 85, 73, 90]","[95, 97, 99, 96, 91]","[1, 38, 18, 31, 34, 27, 26, 20, 32, 29, 12, 24, 17, 3, 39, 14, 2, 33, 13, 35, 15, 5, 11, 22, 4, 30, 36, 16, 21, 37, 8, 19]","[62, 54, 56, 61, 50, 47, 45, 49, 52, 67, 66, 59, 69, 60, 53, 48, 44, 70, 43, 58, 65, 63, 46]","[77, 71, 84, 80, 88, 87, 81, 83, 75, 78, 89, 74, 82, 76, 86, 72]","[100, 98, 94, 92, 93]",0,"{'red': 0, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","[7, 25]",[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 57]",2,"{'red': 1, 'blue': 1, 'green': 1, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[51],[],[],0,"{'red': 0, 'blue': 1, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","[6, 28]",[],[]
"{'red': 4, 'blue': 3, 'green': 1, 'white': 4, 'black': 5, 'auto_color': 3}","[9, 40, 1, 23]","[68, 64, 41, 55]","[79, 85, 73, 90]","[95, 97, 99, 96, 91]","[38, 18, 31, 34, 27, 26, 20, 32, 29, 12, 24, 17, 3, 39, 14, 2, 33, 13, 35, 15, 5, 11, 22, 4, 30, 36, 16, 21, 37, 8, 19]","[62, 54, 56, 61, 50, 47, 45, 49, 52, 67, 66, 59, 69, 60, 53, 48, 44, 70, 43, 58, 65, 63, 46]","[77, 71, 84, 80, 88, 87, 81, 83, 75, 78, 89, 74, 82, 76, 86, 72]","[100, 98, 94, 92, 93]",0,"{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","[7, 25, 10]",[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 57]",2,"{'red': 2, 'blue': 2, 'green': 1, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[51],[],[],0,"{'red': 1, 'blue': 2, 'green': 4, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","[6, 28]",[],[]
"{'red': 1, 'blue': 2, 'green': 0, 'white': 4, 'black': 5, 'auto_color': 2}","[9, 40, 1, 23]","[68, 64, 41, 55]","[77, 85, 73, 90]","[95, 97, 99, 96, 91]","[38, 18, 31, 34, 27, 26, 20, 32, 29, 12, 24, 17, 3, 39, 14, 2, 33, 13, 35, 15, 5, 11, 22, 4, 30, 36, 16, 21, 37, 8, 19]","[62, 54, 56, 61, 50, 47, 45, 49, 52, 67, 66, 59, 69, 60, 53, 48, 44, 70, 43, 58, 65, 63, 46]","[71, 84, 80, 88, 87, 81, 83, 75, 78, 89, 74, 82, 76, 86, 72]","[100, 98, 94, 92, 93]",0,"{'red': 1, 'blue': 1, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","[7, 25, 10]",[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 57]",2,"{'red': 2, 'blue': 2, 'green': 1, 'white': 2, 'black': 2, 'auto_color': 1}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[51],[],[79],0,"{'red': 3, 'blue': 2, 'green': 4, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","[6, 28]",[],[]
"{'red': 2, 'blue': 4, 'green': 2, 'white': 6, 'black': 7, 'auto_color': 3}","[9, 40, 1, 23]","[68, 64, 54, 55]","[77, 85, 73, 90]","[95, 97, 99, 96, 91]","[38, 18, 31, 34, 27, 26, 20, 32, 29, 12, 24, 17, 3, 39, 14, 2, 33, 13, 35, 15, 5, 11, 22, 4, 30, 36, 16, 21, 37, 8, 19]","[56, 61, 50, 47, 45, 49, 52, 67, 66, 59, 69, 60, 53, 48, 44, 70, 43, 58, 65, 63, 46]","[71, 84, 80, 88, 87, 81, 83, 75, 78, 89, 74, 82, 76, 86, 72]","[100, 98, 94, 92, 93]",0,"{'red': 2, 'blue': 2, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","[7, 25, 10]",[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 57]",3,"{'red': 2, 'blue': 0, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}","[51, 62]",[],[79],2,"{'red': 1, 'blue': 1, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 2}","[6, 28, 41]",[],[]
