Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,Hoang 1 Score,Hoang 1 Stocks,Hoang 1 Stocks Const,Hoang 1 Open,Hoang 1 Noble,Hoang 1 Upsite Down,Trang 4 Score,Trang 4 Stocks,Trang 4 Stocks Const,Trang 4 Open,Trang 4 Noble,Trang 4 Upsite Down,Thao12345 3 Score,Thao12345 3 Stocks,Thao12345 3 Stocks Const,Thao12345 3 Open,Thao12345 3 Noble,Thao12345 3 Upsite Down,Hieu 2 Score,Hieu 2 Stocks,Hieu 2 Stocks Const,Hieu 2 Open,Hieu 2 Noble,Hieu 2 Upsite Down
"{'red': 7, 'blue': 7, 'green': 7, 'white': 7, 'black': 7, 'auto_color': 5}","[29, 38, 12, 35]","[53, 65, 47, 64]","[90, 85, 77, 73]","[92, 95, 100, 91, 98]","[16, 11, 20, 25, 2, 39, 30, 14, 23, 18, 40, 26, 5, 9, 13, 19, 27, 32, 21, 3, 33, 24, 31, 22, 37, 10, 4, 1, 36, 8, 6, 28, 34, 7, 17, 15]","[46, 50, 57, 51, 69, 67, 41, 45, 60, 58, 70, 52, 44, 68, 48, 59, 56, 43, 61, 49, 42, 62, 66, 63, 54, 55]","[82, 88, 80, 87, 75, 72, 81, 71, 78, 83, 89, 74, 84, 86, 79, 76]","[93, 94, 97, 99, 96]",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 2, 'blue': 6, 'green': 6, 'white': 7, 'black': 7, 'auto_color': 4}","[29, 38, 12, 35]","[46, 65, 47, 64]","[90, 85, 77, 73]","[92, 95, 100, 91, 98]","[16, 11, 20, 25, 2, 39, 30, 14, 23, 18, 40, 26, 5, 9, 13, 19, 27, 32, 21, 3, 33, 24, 31, 22, 37, 10, 4, 1, 36, 8, 6, 28, 34, 7, 17, 15]","[50, 57, 51, 69, 67, 41, 45, 60, 58, 70, 52, 44, 68, 48, 59, 56, 43, 61, 49, 42, 62, 66, 63, 54, 55]","[82, 88, 80, 87, 75, 72, 81, 71, 78, 83, 89, 74, 84, 86, 79, 76]","[93, 94, 97, 99, 96]",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[53],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 1, 'blue': 2, 'green': 5, 'white': 6, 'black': 6, 'auto_color': 3}","[29, 38, 12, 35]","[50, 65, 47, 64]","[90, 85, 77, 73]","[92, 95, 100, 91, 98]","[16, 11, 20, 25, 2, 39, 30, 14, 23, 18, 40, 26, 5, 9, 13, 19, 27, 32, 21, 3, 33, 24, 31, 22, 37, 10, 4, 1, 36, 8, 6, 28, 34, 7, 17, 15]","[57, 51, 69, 67, 41, 45, 60, 58, 70, 52, 44, 68, 48, 59, 56, 43, 61, 49, 42, 62, 66, 63, 54, 55]","[82, 88, 80, 87, 75, 72, 81, 71, 78, 83, 89, 74, 84, 86, 79, 76]","[93, 94, 97, 99, 96]",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[53, 46]",0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 1, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 1, 'blue': 3, 'green': 3, 'white': 4, 'black': 5, 'auto_color': 3}","[29, 38, 12, 16]","[50, 65, 47, 64]","[90, 85, 77, 73]","[92, 95, 100, 91, 98]","[11, 20, 25, 2, 39, 30, 14, 23, 18, 40, 26, 5, 9, 13, 19, 27, 32, 21, 3, 33, 24, 31, 22, 37, 10, 4, 1, 36, 8, 6, 28, 34, 7, 17, 15]","[57, 51, 69, 67, 41, 45, 60, 58, 70, 52, 44, 68, 48, 59, 56, 43, 61, 49, 42, 62, 66, 63, 54, 55]","[82, 88, 80, 87, 75, 72, 81, 71, 78, 83, 89, 74, 84, 86, 79, 76]","[93, 94, 97, 99, 96]",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[53, 46]",0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 1, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 0, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[35],[],[]
"{'red': 1, 'blue': 2, 'green': 1, 'white': 2, 'black': 7, 'auto_color': 3}","[11, 38, 12, 16]","[50, 65, 47, 64]","[90, 85, 77, 73]","[92, 95, 100, 91, 98]","[20, 25, 2, 39, 30, 14, 23, 18, 40, 26, 5, 9, 13, 19, 27, 32, 21, 3, 33, 24, 31, 22, 37, 10, 4, 1, 36, 8, 6, 28, 34, 7, 17, 15]","[57, 51, 69, 67, 41, 45, 60, 58, 70, 52, 44, 68, 48, 59, 56, 43, 61, 49, 42, 62, 66, 63, 54, 55]","[82, 88, 80, 87, 75, 72, 81, 71, 78, 83, 89, 74, 84, 86, 79, 76]","[93, 94, 97, 99, 96]",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 4, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[53, 46]",0,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",[29],[],[],0,"{'red': 3, 'blue': 1, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[35],[],[]
"{'red': 0, 'blue': 4, 'green': 0, 'white': 4, 'black': 7, 'auto_color': 4}","[11, 38, 20, 16]","[50, 65, 47, 64]","[90, 85, 77, 73]","[92, 95, 100, 91, 98]","[25, 2, 39, 30, 14, 23, 18, 40, 26, 5, 9, 13, 19, 27, 32, 21, 3, 33, 24, 31, 22, 37, 10, 4, 1, 36, 8, 6, 28, 34, 7, 17, 15]","[57, 51, 69, 67, 41, 45, 60, 58, 70, 52, 44, 68, 48, 59, 56, 43, 61, 49, 42, 62, 66, 63, 54, 55]","[82, 88, 80, 87, 75, 72, 81, 71, 78, 83, 89, 74, 84, 86, 79, 76]","[93, 94, 97, 99, 96]",2,"{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[46],[],[53],0,"{'red': 3, 'blue': 0, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",[12],[],[],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 3, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",[29],[],[],0,"{'red': 4, 'blue': 2, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[35],[],[]
"{'red': 0, 'blue': 4, 'green': 0, 'white': 2, 'black': 7, 'auto_color': 1}","[11, 38, 20, 16]","[50, 51, 47, 64]","[90, 82, 77, 73]","[92, 95, 100, 91, 98]","[25, 2, 39, 30, 14, 23, 18, 40, 26, 5, 9, 13, 19, 27, 32, 21, 3, 33, 24, 31, 22, 37, 10, 4, 1, 36, 8, 6, 28, 34, 7, 17, 15]","[69, 67, 41, 45, 60, 58, 70, 52, 44, 68, 48, 59, 56, 43, 61, 49, 42, 62, 66, 63, 54, 55]","[88, 80, 87, 75, 72, 81, 71, 78, 83, 89, 74, 84, 86, 79, 76]","[93, 94, 97, 99, 96]",2,"{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[46],[],"[53, 65]",0,"{'red': 3, 'blue': 0, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",[12],[],[57],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 5, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",[29],[],[],0,"{'red': 4, 'blue': 2, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[35],[],[85]
"{'red': 1, 'blue': 1, 'green': 0, 'white': 1, 'black': 6, 'auto_color': 1}","[25, 38, 20, 2]","[50, 51, 47, 64]","[90, 82, 77, 73]","[92, 95, 100, 91, 98]","[39, 30, 14, 23, 18, 40, 26, 5, 9, 13, 19, 27, 32, 21, 3, 33, 24, 31, 22, 37, 10, 4, 1, 36, 8, 6, 28, 34, 7, 17, 15]","[69, 67, 41, 45, 60, 58, 70, 52, 44, 68, 48, 59, 56, 43, 61, 49, 42, 62, 66, 63, 54, 55]","[88, 80, 87, 75, 72, 81, 71, 78, 83, 89, 74, 84, 86, 79, 76]","[93, 94, 97, 99, 96]",2,"{'red': 0, 'blue': 2, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[46],[],"[53, 65]",0,"{'red': 3, 'blue': 0, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",[12],[],"[57, 16]",0,"{'red': 0, 'blue': 2, 'green': 1, 'white': 6, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",[29],[],[],0,"{'red': 3, 'blue': 2, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","[35, 11]",[],[85]
"{'red': 1, 'blue': 2, 'green': 3, 'white': 1, 'black': 2, 'auto_color': 1}","[25, 39, 20, 2]","[50, 51, 47, 64]","[90, 82, 77, 73]","[92, 95, 100, 91, 98]","[30, 14, 23, 18, 40, 26, 5, 9, 13, 19, 27, 32, 21, 3, 33, 24, 31, 22, 37, 10, 4, 1, 36, 8, 6, 28, 34, 7, 17, 15]","[69, 67, 41, 45, 60, 58, 70, 52, 44, 68, 48, 59, 56, 43, 61, 49, 42, 62, 66, 63, 54, 55]","[88, 80, 87, 75, 72, 81, 71, 78, 83, 89, 74, 84, 86, 79, 76]","[93, 94, 97, 99, 96]",2,"{'red': 0, 'blue': 2, 'green': 0, 'white': 1, 'black': 2, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[46],[],"[53, 65]",1,"{'red': 3, 'blue': 0, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0}","[12, 16]",[],[57],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 6, 'black': 1, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",[29],[],[38],0,"{'red': 3, 'blue': 2, 'green': 3, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","[35, 11]",[],[85]
"{'red': 0, 'blue': 3, 'green': 2, 'white': 1, 'black': 3, 'auto_color': 0}","[30, 23, 20, 2]","[50, 51, 47, 64]","[90, 82, 77, 73]","[92, 95, 100, 91, 98]","[18, 40, 26, 5, 9, 13, 19, 27, 32, 21, 3, 33, 24, 31, 22, 37, 10, 4, 1, 36, 8, 6, 28, 34, 7, 17, 15]","[69, 67, 41, 45, 60, 58, 70, 52, 44, 68, 48, 59, 56, 43, 61, 49, 42, 62, 66, 63, 54, 55]","[88, 80, 87, 75, 72, 81, 71, 78, 83, 89, 74, 84, 86, 79, 76]","[93, 94, 97, 99, 96]",2,"{'red': 1, 'blue': 3, 'green': 1, 'white': 1, 'black': 2, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[46],[],"[53, 65]",1,"{'red': 3, 'blue': 0, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0}","[12, 16]",[],"[57, 14]",0,"{'red': 0, 'blue': 0, 'green': 1, 'white': 6, 'black': 1, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",[29],[],"[38, 39]",0,"{'red': 3, 'blue': 1, 'green': 3, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 1, 'white': 1, 'black': 0}","[35, 11, 25]",[],[85]
