Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,Thom_Hung Score,Thom_Hung Stocks,Thom_Hung Stocks Const,Thom_Hung Open,Thom_Hung Noble,Thom_Hung Upsite Down,QueenOfGame Score,QueenOfGame Stocks,QueenOfGame Stocks Const,QueenOfGame Open,QueenOfGame Noble,QueenOfGame Upsite Down,KING Score,KING Stocks,KING Stocks Const,KING Open,KING Noble,KING Upsite Down,KingOfDestruction Score,KingOfDestruction Stocks,KingOfDestruction Stocks Const,KingOfDestruction Open,KingOfDestruction Noble,KingOfDestruction Upsite Down
"{'red': 7, 'blue': 7, 'green': 7, 'white': 7, 'black': 7, 'auto_color': 5}","['I_29', 'I_26', 'I_30', 'I_33']","['II_7', 'II_20', 'II_27', 'II_17']","['III_3', 'III_20', 'III_4', 'III_9']","['Noble_1', 'Noble_5', 'Noble_7', 'Noble_6', 'Noble_10']","['I_36', 'I_5', 'I_9', 'I_1', 'I_39', 'I_15', 'I_31', 'I_4', 'I_18', 'I_21', 'I_3', 'I_8', 'I_34', 'I_16', 'I_27', 'I_23', 'I_14', 'I_17', 'I_12', 'I_6', 'I_24', 'I_20', 'I_7', 'I_25', 'I_35', 'I_37', 'I_10', 'I_32', 'I_19', 'I_13', 'I_38', 'I_11', 'I_28', 'I_2', 'I_22', 'I_40']","['II_24', 'II_2', 'II_11', 'II_25', 'II_29', 'II_16', 'II_26', 'II_21', 'II_9', 'II_1', 'II_23', 'II_30', 'II_28', 'II_15', 'II_14', 'II_18', 'II_4', 'II_12', 'II_13', 'II_6', 'II_10', 'II_8', 'II_19', 'II_22', 'II_5', 'II_3']","['III_10', 'III_15', 'III_7', 'III_5', 'III_2', 'III_11', 'III_16', 'III_1', 'III_6', 'III_17', 'III_18', 'III_14', 'III_19', 'III_13', 'III_12', 'III_8']","['Noble_2', 'Noble_3', 'Noble_4', 'Noble_9', 'Noble_8']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 4, 'blue': 5, 'green': 5, 'white': 6, 'black': 6, 'auto_color': 4}","['I_29', 'I_26', 'I_30', 'I_33']","['II_24', 'II_20', 'II_27', 'II_17']","['III_3', 'III_20', 'III_4', 'III_9']","['Noble_1', 'Noble_5', 'Noble_7', 'Noble_6', 'Noble_10']","['I_36', 'I_5', 'I_9', 'I_1', 'I_39', 'I_15', 'I_31', 'I_4', 'I_18', 'I_21', 'I_3', 'I_8', 'I_34', 'I_16', 'I_27', 'I_23', 'I_14', 'I_17', 'I_12', 'I_6', 'I_24', 'I_20', 'I_7', 'I_25', 'I_35', 'I_37', 'I_10', 'I_32', 'I_19', 'I_13', 'I_38', 'I_11', 'I_28', 'I_2', 'I_22', 'I_40']","['II_2', 'II_11', 'II_25', 'II_29', 'II_16', 'II_26', 'II_21', 'II_9', 'II_1', 'II_23', 'II_30', 'II_28', 'II_15', 'II_14', 'II_18', 'II_4', 'II_12', 'II_13', 'II_6', 'II_10', 'II_8', 'II_19', 'II_22', 'II_5', 'II_3']","['III_10', 'III_15', 'III_7', 'III_5', 'III_2', 'III_11', 'III_16', 'III_1', 'III_6', 'III_17', 'III_18', 'III_14', 'III_19', 'III_13', 'III_12', 'III_8']","['Noble_2', 'Noble_3', 'Noble_4', 'Noble_9', 'Noble_8']",0,"{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_7'],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 2, 'blue': 2, 'green': 3, 'white': 5, 'black': 5, 'auto_color': 3}","['I_29', 'I_26', 'I_30', 'I_33']","['II_24', 'II_20', 'II_27', 'II_17']","['III_10', 'III_20', 'III_4', 'III_9']","['Noble_1', 'Noble_5', 'Noble_7', 'Noble_6', 'Noble_10']","['I_36', 'I_5', 'I_9', 'I_1', 'I_39', 'I_15', 'I_31', 'I_4', 'I_18', 'I_21', 'I_3', 'I_8', 'I_34', 'I_16', 'I_27', 'I_23', 'I_14', 'I_17', 'I_12', 'I_6', 'I_24', 'I_20', 'I_7', 'I_25', 'I_35', 'I_37', 'I_10', 'I_32', 'I_19', 'I_13', 'I_38', 'I_11', 'I_28', 'I_2', 'I_22', 'I_40']","['II_2', 'II_11', 'II_25', 'II_29', 'II_16', 'II_26', 'II_21', 'II_9', 'II_1', 'II_23', 'II_30', 'II_28', 'II_15', 'II_14', 'II_18', 'II_4', 'II_12', 'II_13', 'II_6', 'II_10', 'II_8', 'II_19', 'II_22', 'II_5', 'II_3']","['III_15', 'III_7', 'III_5', 'III_2', 'III_11', 'III_16', 'III_1', 'III_6', 'III_17', 'III_18', 'III_14', 'III_19', 'III_13', 'III_12', 'III_8']","['Noble_2', 'Noble_3', 'Noble_4', 'Noble_9', 'Noble_8']",0,"{'red': 1, 'blue': 1, 'green': 0, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_7', 'III_3']",0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 2, 'blue': 1, 'green': 3, 'white': 4, 'black': 4, 'auto_color': 2}","['I_29', 'I_26', 'I_30', 'I_36']","['II_24', 'II_20', 'II_27', 'II_17']","['III_15', 'III_20', 'III_4', 'III_9']","['Noble_1', 'Noble_5', 'Noble_7', 'Noble_6', 'Noble_10']","['I_5', 'I_9', 'I_1', 'I_39', 'I_15', 'I_31', 'I_4', 'I_18', 'I_21', 'I_3', 'I_8', 'I_34', 'I_16', 'I_27', 'I_23', 'I_14', 'I_17', 'I_12', 'I_6', 'I_24', 'I_20', 'I_7', 'I_25', 'I_35', 'I_37', 'I_10', 'I_32', 'I_19', 'I_13', 'I_38', 'I_11', 'I_28', 'I_2', 'I_22', 'I_40']","['II_2', 'II_11', 'II_25', 'II_29', 'II_16', 'II_26', 'II_21', 'II_9', 'II_1', 'II_23', 'II_30', 'II_28', 'II_15', 'II_14', 'II_18', 'II_4', 'II_12', 'II_13', 'II_6', 'II_10', 'II_8', 'II_19', 'II_22', 'II_5', 'II_3']","['III_7', 'III_5', 'III_2', 'III_11', 'III_16', 'III_1', 'III_6', 'III_17', 'III_18', 'III_14', 'III_19', 'III_13', 'III_12', 'III_8']","['Noble_2', 'Noble_3', 'Noble_4', 'Noble_9', 'Noble_8']",0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 3, 'black': 3, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_7', 'III_3', 'III_10']",0,"{'red': 1, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_33'],[],[],0,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 2, 'blue': 0, 'green': 0, 'white': 3, 'black': 2, 'auto_color': 1}","['I_29', 'I_26', 'I_30', 'I_36']","['II_24', 'II_20', 'II_2', 'II_17']","['III_15', 'III_20', 'III_4', 'III_9']","['Noble_1', 'Noble_5', 'Noble_7', 'Noble_6', 'Noble_10']","['I_5', 'I_9', 'I_1', 'I_39', 'I_15', 'I_31', 'I_4', 'I_18', 'I_21', 'I_3', 'I_8', 'I_34', 'I_16', 'I_27', 'I_23', 'I_14', 'I_17', 'I_12', 'I_6', 'I_24', 'I_20', 'I_7', 'I_25', 'I_35', 'I_37', 'I_10', 'I_32', 'I_19', 'I_13', 'I_38', 'I_11', 'I_28', 'I_2', 'I_22', 'I_40']","['II_11', 'II_25', 'II_29', 'II_16', 'II_26', 'II_21', 'II_9', 'II_1', 'II_23', 'II_30', 'II_28', 'II_15', 'II_14', 'II_18', 'II_4', 'II_12', 'II_13', 'II_6', 'II_10', 'II_8', 'II_19', 'II_22', 'II_5', 'II_3']","['III_7', 'III_5', 'III_2', 'III_11', 'III_16', 'III_1', 'III_6', 'III_17', 'III_18', 'III_14', 'III_19', 'III_13', 'III_12', 'III_8']","['Noble_2', 'Noble_3', 'Noble_4', 'Noble_9', 'Noble_8']",0,"{'red': 0, 'blue': 0, 'green': 2, 'white': 4, 'black': 4, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 1, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_7', 'III_3', 'III_10']",0,"{'red': 2, 'blue': 3, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_33'],[],[],0,"{'red': 3, 'blue': 3, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_27']
"{'red': 6, 'blue': 1, 'green': 2, 'white': 2, 'black': 2, 'auto_color': 2}","['I_29', 'I_26', 'I_5', 'I_36']","['II_24', 'II_20', 'II_2', 'II_17']","['III_15', 'III_20', 'III_4', 'III_9']","['Noble_1', 'Noble_5', 'Noble_7', 'Noble_6', 'Noble_10']","['I_9', 'I_1', 'I_39', 'I_15', 'I_31', 'I_4', 'I_18', 'I_21', 'I_3', 'I_8', 'I_34', 'I_16', 'I_27', 'I_23', 'I_14', 'I_17', 'I_12', 'I_6', 'I_24', 'I_20', 'I_7', 'I_25', 'I_35', 'I_37', 'I_10', 'I_32', 'I_19', 'I_13', 'I_38', 'I_11', 'I_28', 'I_2', 'I_22', 'I_40']","['II_11', 'II_25', 'II_29', 'II_16', 'II_26', 'II_21', 'II_9', 'II_1', 'II_23', 'II_30', 'II_28', 'II_15', 'II_14', 'II_18', 'II_4', 'II_12', 'II_13', 'II_6', 'II_10', 'II_8', 'II_19', 'II_22', 'II_5', 'II_3']","['III_7', 'III_5', 'III_2', 'III_11', 'III_16', 'III_1', 'III_6', 'III_17', 'III_18', 'III_14', 'III_19', 'III_13', 'III_12', 'III_8']","['Noble_2', 'Noble_3', 'Noble_4', 'Noble_9', 'Noble_8']",0,"{'red': 0, 'blue': 0, 'green': 1, 'white': 5, 'black': 4, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 1, 'green': 3, 'white': 0, 'black': 1, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_7', 'III_3', 'III_10']",0,"{'red': 0, 'blue': 3, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['I_33', 'I_30']",[],[],2,"{'red': 1, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['II_27'],[],[]
"{'red': 5, 'blue': 2, 'green': 1, 'white': 2, 'black': 2, 'auto_color': 2}","['I_29', 'I_26', 'I_9', 'I_36']","['II_24', 'II_20', 'II_2', 'II_17']","['III_15', 'III_20', 'III_4', 'III_9']","['Noble_1', 'Noble_5', 'Noble_7', 'Noble_6', 'Noble_10']","['I_1', 'I_39', 'I_15', 'I_31', 'I_4', 'I_18', 'I_21', 'I_3', 'I_8', 'I_34', 'I_16', 'I_27', 'I_23', 'I_14', 'I_17', 'I_12', 'I_6', 'I_24', 'I_20', 'I_7', 'I_25', 'I_35', 'I_37', 'I_10', 'I_32', 'I_19', 'I_13', 'I_38', 'I_11', 'I_28', 'I_2', 'I_22', 'I_40']","['II_11', 'II_25', 'II_29', 'II_16', 'II_26', 'II_21', 'II_9', 'II_1', 'II_23', 'II_30', 'II_28', 'II_15', 'II_14', 'II_18', 'II_4', 'II_12', 'II_13', 'II_6', 'II_10', 'II_8', 'II_19', 'II_22', 'II_5', 'II_3']","['III_7', 'III_5', 'III_2', 'III_11', 'III_16', 'III_1', 'III_6', 'III_17', 'III_18', 'III_14', 'III_19', 'III_13', 'III_12', 'III_8']","['Noble_2', 'Noble_3', 'Noble_4', 'Noble_9', 'Noble_8']",0,"{'red': 0, 'blue': 0, 'green': 1, 'white': 5, 'black': 4, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 2, 'green': 4, 'white': 0, 'black': 1, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_7', 'III_3', 'III_10']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_33', 'I_30', 'I_5']",[],[],2,"{'red': 2, 'blue': 3, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['II_27'],[],[]
"{'red': 3, 'blue': 0, 'green': 5, 'white': 0, 'black': 2, 'auto_color': 5}","['I_29', 'I_26', 'I_9', 'I_36']","['II_24', 'II_20', 'II_2', 'II_17']","['III_15', 'III_20', 'III_4', 'III_9']","['Noble_1', 'Noble_5', 'Noble_7', 'Noble_6', 'Noble_10']","['I_1', 'I_39', 'I_15', 'I_31', 'I_4', 'I_18', 'I_21', 'I_3', 'I_8', 'I_34', 'I_16', 'I_27', 'I_23', 'I_14', 'I_17', 'I_12', 'I_6', 'I_24', 'I_20', 'I_7', 'I_25', 'I_35', 'I_37', 'I_10', 'I_32', 'I_19', 'I_13', 'I_38', 'I_11', 'I_28', 'I_2', 'I_22', 'I_40']","['II_11', 'II_25', 'II_29', 'II_16', 'II_26', 'II_21', 'II_9', 'II_1', 'II_23', 'II_30', 'II_28', 'II_15', 'II_14', 'II_18', 'II_4', 'II_12', 'II_13', 'II_6', 'II_10', 'II_8', 'II_19', 'II_22', 'II_5', 'II_3']","['III_7', 'III_5', 'III_2', 'III_11', 'III_16', 'III_1', 'III_6', 'III_17', 'III_18', 'III_14', 'III_19', 'III_13', 'III_12', 'III_8']","['Noble_2', 'Noble_3', 'Noble_4', 'Noble_9', 'Noble_8']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 6, 'black': 4, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],4,"{'red': 0, 'blue': 2, 'green': 0, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['III_10'],[],"['II_7', 'III_3']",0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_33', 'I_30', 'I_5']",[],[],2,"{'red': 3, 'blue': 4, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['II_27'],[],[]
"{'red': 6, 'blue': 3, 'green': 4, 'white': 0, 'black': 2, 'auto_color': 5}","['I_29', 'I_39', 'I_9', 'I_36']","['II_24', 'II_20', 'II_2', 'II_17']","['III_15', 'III_20', 'III_4', 'III_9']","['Noble_1', 'Noble_5', 'Noble_7', 'Noble_6', 'Noble_10']","['I_15', 'I_31', 'I_4', 'I_18', 'I_21', 'I_3', 'I_8', 'I_34', 'I_16', 'I_27', 'I_23', 'I_14', 'I_17', 'I_12', 'I_6', 'I_24', 'I_20', 'I_7', 'I_25', 'I_35', 'I_37', 'I_10', 'I_32', 'I_19', 'I_13', 'I_38', 'I_11', 'I_28', 'I_2', 'I_22', 'I_40']","['II_11', 'II_25', 'II_29', 'II_16', 'II_26', 'II_21', 'II_9', 'II_1', 'II_23', 'II_30', 'II_28', 'II_15', 'II_14', 'II_18', 'II_4', 'II_12', 'II_13', 'II_6', 'II_10', 'II_8', 'II_19', 'II_22', 'II_5', 'II_3']","['III_7', 'III_5', 'III_2', 'III_11', 'III_16', 'III_1', 'III_6', 'III_17', 'III_18', 'III_14', 'III_19', 'III_13', 'III_12', 'III_8']","['Noble_2', 'Noble_3', 'Noble_4', 'Noble_9', 'Noble_8']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 6, 'black': 4, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],4,"{'red': 0, 'blue': 2, 'green': 2, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['III_10'],[],"['II_7', 'III_3']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 2, 'black': 1}","['I_33', 'I_30', 'I_5', 'I_26']",[],[],2,"{'red': 1, 'blue': 2, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['II_27', 'I_1']",[],[]
"{'red': 4, 'blue': 0, 'green': 1, 'white': 0, 'black': 1, 'auto_color': 5}","['I_29', 'I_39', 'I_9', 'I_36']","['II_24', 'II_20', 'II_2', 'II_17']","['III_15', 'III_20', 'III_4', 'III_9']","['Noble_1', 'Noble_5', 'Noble_7', 'Noble_6', 'Noble_10']","['I_15', 'I_31', 'I_4', 'I_18', 'I_21', 'I_3', 'I_8', 'I_34', 'I_16', 'I_27', 'I_23', 'I_14', 'I_17', 'I_12', 'I_6', 'I_24', 'I_20', 'I_7', 'I_25', 'I_35', 'I_37', 'I_10', 'I_32', 'I_19', 'I_13', 'I_38', 'I_11', 'I_28', 'I_2', 'I_22', 'I_40']","['II_11', 'II_25', 'II_29', 'II_16', 'II_26', 'II_21', 'II_9', 'II_1', 'II_23', 'II_30', 'II_28', 'II_15', 'II_14', 'II_18', 'II_4', 'II_12', 'II_13', 'II_6', 'II_10', 'II_8', 'II_19', 'II_22', 'II_5', 'II_3']","['III_7', 'III_5', 'III_2', 'III_11', 'III_16', 'III_1', 'III_6', 'III_17', 'III_18', 'III_14', 'III_19', 'III_13', 'III_12', 'III_8']","['Noble_2', 'Noble_3', 'Noble_4', 'Noble_9', 'Noble_8']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 6, 'black': 4, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],4,"{'red': 0, 'blue': 3, 'green': 3, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['III_10'],[],"['II_7', 'III_3']",0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 2, 'black': 1}","['I_33', 'I_30', 'I_5', 'I_26']",[],[],2,"{'red': 2, 'blue': 3, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 1}","['II_27', 'I_1']",[],[]
