Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,Hoang Score,Hoang Stocks,Hoang Stocks Const,Hoang Open,Hoang Noble,Hoang Upsite Down,Trang Score,Trang Stocks,Trang Stocks Const,Trang Open,Trang Noble,Trang Upsite Down,Thao12345 Score,Thao12345 Stocks,Thao12345 Stocks Const,Thao12345 Open,Thao12345 Noble,Thao12345 Upsite Down,Hieu Score,Hieu Stocks,Hieu Stocks Const,Hieu Open,Hieu Noble,Hieu Upsite Down
"{'red': 7, 'blue': 7, 'green': 7, 'white': 7, 'black': 7, 'auto_color': 5}","['I_18', 'I_33', 'I_3', 'I_27']","['II_22', 'II_26', 'II_19', 'II_23']","['III_8', 'III_10', 'III_19', 'III_11']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_6', 'Noble_1']","['I_29', 'I_39', 'I_4', 'I_35', 'I_34', 'I_21', 'I_28', 'I_6', 'I_24', 'I_26', 'I_19', 'I_11', 'I_38', 'I_37', 'I_32', 'I_15', 'I_13', 'I_17', 'I_9', 'I_30', 'I_36', 'I_2', 'I_23', 'I_31', 'I_22', 'I_7', 'I_5', 'I_20', 'I_14', 'I_16', 'I_12', 'I_10', 'I_1', 'I_8', 'I_40', 'I_25']","['II_1', 'II_16', 'II_20', 'II_12', 'II_15', 'II_3', 'II_17', 'II_27', 'II_6', 'II_5', 'II_10', 'II_7', 'II_11', 'II_4', 'II_25', 'II_8', 'II_29', 'II_9', 'II_28', 'II_18', 'II_13', 'II_2', 'II_24', 'II_14', 'II_30', 'II_21']","['III_1', 'III_7', 'III_12', 'III_14', 'III_5', 'III_17', 'III_4', 'III_16', 'III_2', 'III_3', 'III_20', 'III_9', 'III_6', 'III_13', 'III_18', 'III_15']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_2', 'Noble_4']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 4, 'blue': 6, 'green': 4, 'white': 7, 'black': 7, 'auto_color': 4}","['I_18', 'I_33', 'I_3', 'I_27']","['II_22', 'II_26', 'II_1', 'II_23']","['III_8', 'III_10', 'III_19', 'III_11']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_6', 'Noble_1']","['I_29', 'I_39', 'I_4', 'I_35', 'I_34', 'I_21', 'I_28', 'I_6', 'I_24', 'I_26', 'I_19', 'I_11', 'I_38', 'I_37', 'I_32', 'I_15', 'I_13', 'I_17', 'I_9', 'I_30', 'I_36', 'I_2', 'I_23', 'I_31', 'I_22', 'I_7', 'I_5', 'I_20', 'I_14', 'I_16', 'I_12', 'I_10', 'I_1', 'I_8', 'I_40', 'I_25']","['II_16', 'II_20', 'II_12', 'II_15', 'II_3', 'II_17', 'II_27', 'II_6', 'II_5', 'II_10', 'II_7', 'II_11', 'II_4', 'II_25', 'II_8', 'II_29', 'II_9', 'II_28', 'II_18', 'II_13', 'II_2', 'II_24', 'II_14', 'II_30', 'II_21']","['III_1', 'III_7', 'III_12', 'III_14', 'III_5', 'III_17', 'III_4', 'III_16', 'III_2', 'III_3', 'III_20', 'III_9', 'III_6', 'III_13', 'III_18', 'III_15']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_2', 'Noble_4']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_19'],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 2, 'blue': 3, 'green': 2, 'white': 5, 'black': 6, 'auto_color': 4}","['I_18', 'I_33', 'I_3', 'I_27']","['II_22', 'II_26', 'II_1', 'II_23']","['III_8', 'III_10', 'III_19', 'III_11']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_6', 'Noble_1']","['I_29', 'I_39', 'I_4', 'I_35', 'I_34', 'I_21', 'I_28', 'I_6', 'I_24', 'I_26', 'I_19', 'I_11', 'I_38', 'I_37', 'I_32', 'I_15', 'I_13', 'I_17', 'I_9', 'I_30', 'I_36', 'I_2', 'I_23', 'I_31', 'I_22', 'I_7', 'I_5', 'I_20', 'I_14', 'I_16', 'I_12', 'I_10', 'I_1', 'I_8', 'I_40', 'I_25']","['II_16', 'II_20', 'II_12', 'II_15', 'II_3', 'II_17', 'II_27', 'II_6', 'II_5', 'II_10', 'II_7', 'II_11', 'II_4', 'II_25', 'II_8', 'II_29', 'II_9', 'II_28', 'II_18', 'II_13', 'II_2', 'II_24', 'II_14', 'II_30', 'II_21']","['III_1', 'III_7', 'III_12', 'III_14', 'III_5', 'III_17', 'III_4', 'III_16', 'III_2', 'III_3', 'III_20', 'III_9', 'III_6', 'III_13', 'III_18', 'III_15']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_2', 'Noble_4']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_19'],0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 0, 'green': 3, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 2, 'blue': 3, 'green': 1, 'white': 3, 'black': 5, 'auto_color': 4}","['I_18', 'I_29', 'I_3', 'I_27']","['II_22', 'II_26', 'II_1', 'II_23']","['III_8', 'III_10', 'III_19', 'III_11']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_6', 'Noble_1']","['I_39', 'I_4', 'I_35', 'I_34', 'I_21', 'I_28', 'I_6', 'I_24', 'I_26', 'I_19', 'I_11', 'I_38', 'I_37', 'I_32', 'I_15', 'I_13', 'I_17', 'I_9', 'I_30', 'I_36', 'I_2', 'I_23', 'I_31', 'I_22', 'I_7', 'I_5', 'I_20', 'I_14', 'I_16', 'I_12', 'I_10', 'I_1', 'I_8', 'I_40', 'I_25']","['II_16', 'II_20', 'II_12', 'II_15', 'II_3', 'II_17', 'II_27', 'II_6', 'II_5', 'II_10', 'II_7', 'II_11', 'II_4', 'II_25', 'II_8', 'II_29', 'II_9', 'II_28', 'II_18', 'II_13', 'II_2', 'II_24', 'II_14', 'II_30', 'II_21']","['III_1', 'III_7', 'III_12', 'III_14', 'III_5', 'III_17', 'III_4', 'III_16', 'III_2', 'III_3', 'III_20', 'III_9', 'III_6', 'III_13', 'III_18', 'III_15']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_2', 'Noble_4']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 4, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_19'],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 0, 'green': 4, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_33'],[],[]
"{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 4, 'auto_color': 3}","['I_18', 'I_29', 'I_3', 'I_27']","['II_22', 'II_26', 'II_1', 'II_16']","['III_8', 'III_10', 'III_19', 'III_11']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_6', 'Noble_1']","['I_39', 'I_4', 'I_35', 'I_34', 'I_21', 'I_28', 'I_6', 'I_24', 'I_26', 'I_19', 'I_11', 'I_38', 'I_37', 'I_32', 'I_15', 'I_13', 'I_17', 'I_9', 'I_30', 'I_36', 'I_2', 'I_23', 'I_31', 'I_22', 'I_7', 'I_5', 'I_20', 'I_14', 'I_16', 'I_12', 'I_10', 'I_1', 'I_8', 'I_40', 'I_25']","['II_20', 'II_12', 'II_15', 'II_3', 'II_17', 'II_27', 'II_6', 'II_5', 'II_10', 'II_7', 'II_11', 'II_4', 'II_25', 'II_8', 'II_29', 'II_9', 'II_28', 'II_18', 'II_13', 'II_2', 'II_24', 'II_14', 'II_30', 'II_21']","['III_1', 'III_7', 'III_12', 'III_14', 'III_5', 'III_17', 'III_4', 'III_16', 'III_2', 'III_3', 'III_20', 'III_9', 'III_6', 'III_13', 'III_18', 'III_15']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_2', 'Noble_4']",0,"{'red': 0, 'blue': 1, 'green': 0, 'white': 5, 'black': 1, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_19'],0,"{'red': 3, 'blue': 3, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 0, 'green': 4, 'white': 0, 'black': 2, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['II_23'],0,"{'red': 2, 'blue': 3, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_33'],[],[]
"{'red': 0, 'blue': 0, 'green': 0, 'white': 6, 'black': 2, 'auto_color': 3}","['I_18', 'I_29', 'I_3', 'I_27']","['II_22', 'II_20', 'II_1', 'II_16']","['III_8', 'III_10', 'III_19', 'III_11']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_6', 'Noble_1']","['I_39', 'I_4', 'I_35', 'I_34', 'I_21', 'I_28', 'I_6', 'I_24', 'I_26', 'I_19', 'I_11', 'I_38', 'I_37', 'I_32', 'I_15', 'I_13', 'I_17', 'I_9', 'I_30', 'I_36', 'I_2', 'I_23', 'I_31', 'I_22', 'I_7', 'I_5', 'I_20', 'I_14', 'I_16', 'I_12', 'I_10', 'I_1', 'I_8', 'I_40', 'I_25']","['II_12', 'II_15', 'II_3', 'II_17', 'II_27', 'II_6', 'II_5', 'II_10', 'II_7', 'II_11', 'II_4', 'II_25', 'II_8', 'II_29', 'II_9', 'II_28', 'II_18', 'II_13', 'II_2', 'II_24', 'II_14', 'II_30', 'II_21']","['III_1', 'III_7', 'III_12', 'III_14', 'III_5', 'III_17', 'III_4', 'III_16', 'III_2', 'III_3', 'III_20', 'III_9', 'III_6', 'III_13', 'III_18', 'III_15']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_2', 'Noble_4']",3,"{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['II_19'],[],[],0,"{'red': 3, 'blue': 3, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 0, 'green': 4, 'white': 0, 'black': 2, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_23', 'II_26']",0,"{'red': 2, 'blue': 3, 'green': 1, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_33'],[],[]
"{'red': 3, 'blue': 1, 'green': 0, 'white': 3, 'black': 2, 'auto_color': 2}","['I_18', 'I_4', 'I_3', 'I_27']","['II_22', 'II_20', 'II_1', 'II_16']","['III_8', 'III_10', 'III_19', 'III_11']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_6', 'Noble_1']","['I_35', 'I_34', 'I_21', 'I_28', 'I_6', 'I_24', 'I_26', 'I_19', 'I_11', 'I_38', 'I_37', 'I_32', 'I_15', 'I_13', 'I_17', 'I_9', 'I_30', 'I_36', 'I_2', 'I_23', 'I_31', 'I_22', 'I_7', 'I_5', 'I_20', 'I_14', 'I_16', 'I_12', 'I_10', 'I_1', 'I_8', 'I_40', 'I_25']","['II_12', 'II_15', 'II_3', 'II_17', 'II_27', 'II_6', 'II_5', 'II_10', 'II_7', 'II_11', 'II_4', 'II_25', 'II_8', 'II_29', 'II_9', 'II_28', 'II_18', 'II_13', 'II_2', 'II_24', 'II_14', 'II_30', 'II_21']","['III_1', 'III_7', 'III_12', 'III_14', 'III_5', 'III_17', 'III_4', 'III_16', 'III_2', 'III_3', 'III_20', 'III_9', 'III_6', 'III_13', 'III_18', 'III_15']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_2', 'Noble_4']",3,"{'red': 0, 'blue': 1, 'green': 0, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}",['II_19'],[],[],0,"{'red': 1, 'blue': 4, 'green': 2, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 0, 'green': 4, 'white': 0, 'black': 2, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['II_23', 'II_26', 'I_39']",0,"{'red': 2, 'blue': 1, 'green': 1, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['I_33', 'I_29']",[],[]
"{'red': 4, 'blue': 7, 'green': 2, 'white': 6, 'black': 4, 'auto_color': 5}","['I_21', 'I_4', 'I_35', 'I_34']","['II_22', 'II_20', 'II_1', 'II_12']","['III_8', 'III_10', 'III_19', 'III_11']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_6', 'Noble_1']","['I_28', 'I_6', 'I_24', 'I_26', 'I_19', 'I_11', 'I_38', 'I_37', 'I_32', 'I_15', 'I_13', 'I_17', 'I_9', 'I_30', 'I_36', 'I_2', 'I_23', 'I_31', 'I_22', 'I_7', 'I_5', 'I_20', 'I_14', 'I_16', 'I_12', 'I_10', 'I_1', 'I_8', 'I_40', 'I_25']","['II_15', 'II_3', 'II_17', 'II_27', 'II_6', 'II_5', 'II_10', 'II_7', 'II_11', 'II_4', 'II_25', 'II_8', 'II_29', 'II_9', 'II_28', 'II_18', 'II_13', 'II_2', 'II_24', 'II_14', 'II_30', 'II_21']","['III_1', 'III_7', 'III_12', 'III_14', 'III_5', 'III_17', 'III_4', 'III_16', 'III_2', 'III_3', 'III_20', 'III_9', 'III_6', 'III_13', 'III_18', 'III_15']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_2', 'Noble_4']",3,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0}","['II_19', 'I_27']",[],[],2,"{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['II_16'],[],[],0,"{'red': 1, 'blue': 0, 'green': 4, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_18'],[],"['II_23', 'II_26', 'I_39']",0,"{'red': 1, 'blue': 0, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_33', 'I_29', 'I_3']",[],[]
"{'red': 2, 'blue': 5, 'green': 0, 'white': 4, 'black': 4, 'auto_color': 4}","['I_21', 'I_4', 'I_35', 'I_34']","['II_22', 'II_20', 'II_1', 'II_12']","['III_8', 'III_1', 'III_19', 'III_11']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_6', 'Noble_1']","['I_28', 'I_6', 'I_24', 'I_26', 'I_19', 'I_11', 'I_38', 'I_37', 'I_32', 'I_15', 'I_13', 'I_17', 'I_9', 'I_30', 'I_36', 'I_2', 'I_23', 'I_31', 'I_22', 'I_7', 'I_5', 'I_20', 'I_14', 'I_16', 'I_12', 'I_10', 'I_1', 'I_8', 'I_40', 'I_25']","['II_15', 'II_3', 'II_17', 'II_27', 'II_6', 'II_5', 'II_10', 'II_7', 'II_11', 'II_4', 'II_25', 'II_8', 'II_29', 'II_9', 'II_28', 'II_18', 'II_13', 'II_2', 'II_24', 'II_14', 'II_30', 'II_21']","['III_7', 'III_12', 'III_14', 'III_5', 'III_17', 'III_4', 'III_16', 'III_2', 'III_3', 'III_20', 'III_9', 'III_6', 'III_13', 'III_18', 'III_15']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_2', 'Noble_4']",3,"{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0}","['II_19', 'I_27']",[],[],2,"{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 1}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['II_16'],[],['III_10'],0,"{'red': 2, 'blue': 1, 'green': 5, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_18'],[],"['II_23', 'II_26', 'I_39']",0,"{'red': 2, 'blue': 1, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 1}","['I_33', 'I_29', 'I_3']",[],[]
"{'red': 5, 'blue': 6, 'green': 0, 'white': 3, 'black': 3, 'auto_color': 2}","['I_21', 'I_4', 'I_35', 'I_28']","['II_22', 'II_20', 'II_1', 'II_12']","['III_8', 'III_12', 'III_19', 'III_11']","['Noble_10', 'Noble_9', 'Noble_8', 'Noble_6', 'Noble_1']","['I_6', 'I_24', 'I_26', 'I_19', 'I_11', 'I_38', 'I_37', 'I_32', 'I_15', 'I_13', 'I_17', 'I_9', 'I_30', 'I_36', 'I_2', 'I_23', 'I_31', 'I_22', 'I_7', 'I_5', 'I_20', 'I_14', 'I_16', 'I_12', 'I_10', 'I_1', 'I_8', 'I_40', 'I_25']","['II_15', 'II_3', 'II_17', 'II_27', 'II_6', 'II_5', 'II_10', 'II_7', 'II_11', 'II_4', 'II_25', 'II_8', 'II_29', 'II_9', 'II_28', 'II_18', 'II_13', 'II_2', 'II_24', 'II_14', 'II_30', 'II_21']","['III_14', 'III_5', 'III_17', 'III_4', 'III_16', 'III_2', 'III_3', 'III_20', 'III_9', 'III_6', 'III_13', 'III_18', 'III_15']","['Noble_7', 'Noble_3', 'Noble_5', 'Noble_2', 'Noble_4']",3,"{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0}","['II_19', 'I_27']",[],['III_7'],2,"{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 2}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['II_16'],[],"['III_10', 'III_1']",0,"{'red': 0, 'blue': 1, 'green': 5, 'white': 1, 'black': 3, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",['I_18'],[],"['II_23', 'II_26', 'I_39']",0,"{'red': 1, 'blue': 0, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 1, 'black': 2}","['I_33', 'I_29', 'I_3', 'I_34']",[],[]
