Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,Hoang 2 Score,Hoang 2 Stocks,Hoang 2 Stocks Const,Hoang 2 Open,Hoang 2 Noble,Hoang 2 Upsite Down,Trang 4 Score,Trang 4 Stocks,Trang 4 Stocks Const,Trang 4 Open,Trang 4 Noble,Trang 4 Upsite Down,Thao12345 1 Score,Thao12345 1 Stocks,Thao12345 1 Stocks Const,Thao12345 1 Open,Thao12345 1 Noble,Thao12345 1 Upsite Down,Hieu 3 Score,Hieu 3 Stocks,Hieu 3 Stocks Const,Hieu 3 Open,Hieu 3 Noble,Hieu 3 Upsite Down
"{'red': 7, 'blue': 7, 'green': 7, 'white': 7, 'black': 7, 'auto_color': 5}","[2, 35, 21, 34]","[60, 58, 63, 46]","[83, 86, 80, 84]","[92, 97, 96, 94, 95]","[7, 20, 33, 10, 40, 12, 37, 14, 27, 26, 13, 31, 25, 1, 29, 19, 4, 18, 36, 16, 6, 23, 30, 17, 28, 3, 5, 15, 22, 38, 39, 9, 11, 24, 8, 32]","[70, 53, 41, 52, 69, 66, 59, 45, 56, 65, 50, 54, 62, 51, 48, 67, 55, 43, 42, 44, 57, 61, 47, 68, 64, 49]","[79, 78, 88, 72, 74, 81, 89, 90, 87, 71, 73, 77, 85, 82, 76, 75]","[99, 100, 98, 91, 93]",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 4, 'blue': 6, 'green': 4, 'white': 7, 'black': 7, 'auto_color': 4}","[2, 35, 21, 34]","[60, 58, 63, 46]","[79, 86, 80, 84]","[92, 97, 96, 94, 95]","[7, 20, 33, 10, 40, 12, 37, 14, 27, 26, 13, 31, 25, 1, 29, 19, 4, 18, 36, 16, 6, 23, 30, 17, 28, 3, 5, 15, 22, 38, 39, 9, 11, 24, 8, 32]","[70, 53, 41, 52, 69, 66, 59, 45, 56, 65, 50, 54, 62, 51, 48, 67, 55, 43, 42, 44, 57, 61, 47, 68, 64, 49]","[78, 88, 72, 74, 81, 89, 90, 87, 71, 73, 77, 85, 82, 76, 75]","[99, 100, 98, 91, 93]",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[83],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 3, 'blue': 3, 'green': 3, 'white': 5, 'black': 7, 'auto_color': 3}","[2, 35, 21, 34]","[60, 58, 63, 46]","[78, 86, 80, 84]","[92, 97, 96, 94, 95]","[7, 20, 33, 10, 40, 12, 37, 14, 27, 26, 13, 31, 25, 1, 29, 19, 4, 18, 36, 16, 6, 23, 30, 17, 28, 3, 5, 15, 22, 38, 39, 9, 11, 24, 8, 32]","[70, 53, 41, 52, 69, 66, 59, 45, 56, 65, 50, 54, 62, 51, 48, 67, 55, 43, 42, 44, 57, 61, 47, 68, 64, 49]","[88, 72, 74, 81, 89, 90, 87, 71, 73, 77, 85, 82, 76, 75]","[99, 100, 98, 91, 93]",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[83, 79]",0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 2, 'blue': 3, 'green': 4, 'white': 2, 'black': 6, 'auto_color': 3}","[2, 7, 21, 34]","[60, 58, 63, 46]","[78, 86, 80, 84]","[92, 97, 96, 94, 95]","[20, 33, 10, 40, 12, 37, 14, 27, 26, 13, 31, 25, 1, 29, 19, 4, 18, 36, 16, 6, 23, 30, 17, 28, 3, 5, 15, 22, 38, 39, 9, 11, 24, 8, 32]","[70, 53, 41, 52, 69, 66, 59, 45, 56, 65, 50, 54, 62, 51, 48, 67, 55, 43, 42, 44, 57, 61, 47, 68, 64, 49]","[88, 72, 74, 81, 89, 90, 87, 71, 73, 77, 85, 82, 76, 75]","[99, 100, 98, 91, 93]",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[83, 79]",0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 2, 'green': 2, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 0, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[35],[],[]
"{'red': 2, 'blue': 3, 'green': 2, 'white': 4, 'black': 3, 'auto_color': 3}","[20, 7, 21, 34]","[60, 58, 63, 46]","[78, 86, 80, 84]","[92, 97, 96, 94, 95]","[33, 10, 40, 12, 37, 14, 27, 26, 13, 31, 25, 1, 29, 19, 4, 18, 36, 16, 6, 23, 30, 17, 28, 3, 5, 15, 22, 38, 39, 9, 11, 24, 8, 32]","[70, 53, 41, 52, 69, 66, 59, 45, 56, 65, 50, 54, 62, 51, 48, 67, 55, 43, 42, 44, 57, 61, 47, 68, 64, 49]","[88, 72, 74, 81, 89, 90, 87, 71, 73, 77, 85, 82, 76, 75]","[99, 100, 98, 91, 93]",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 2, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[83, 79]",0,"{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[2],[],[],0,"{'red': 1, 'blue': 3, 'green': 3, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 3, 'blue': 1, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[35],[],[]
"{'red': 2, 'blue': 2, 'green': 1, 'white': 6, 'black': 3, 'auto_color': 3}","[20, 7, 21, 10]","[60, 58, 63, 46]","[78, 86, 88, 84]","[92, 97, 96, 94, 95]","[40, 12, 37, 14, 27, 26, 13, 31, 25, 1, 29, 19, 4, 18, 36, 16, 6, 23, 30, 17, 28, 3, 5, 15, 22, 38, 39, 9, 11, 24, 8, 32]","[70, 53, 41, 52, 69, 66, 59, 45, 56, 65, 50, 54, 62, 51, 48, 67, 55, 43, 42, 44, 57, 61, 47, 68, 64, 49]","[72, 74, 81, 89, 90, 87, 71, 73, 77, 85, 82, 76, 75]","[99, 100, 98, 91, 93]",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[33],[],"[83, 79]",0,"{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[2],[],[80],0,"{'red': 0, 'blue': 3, 'green': 3, 'white': 1, 'black': 2, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[34],0,"{'red': 4, 'blue': 2, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[35],[],[]
"{'red': 2, 'blue': 3, 'green': 1, 'white': 4, 'black': 3, 'auto_color': 0}","[20, 7, 21, 40]","[60, 58, 63, 46]","[78, 86, 74, 84]","[92, 97, 96, 94, 95]","[12, 37, 14, 27, 26, 13, 31, 25, 1, 29, 19, 4, 18, 36, 16, 6, 23, 30, 17, 28, 3, 5, 15, 22, 38, 39, 9, 11, 24, 8, 32]","[70, 53, 41, 52, 69, 66, 59, 45, 56, 65, 50, 54, 62, 51, 48, 67, 55, 43, 42, 44, 57, 61, 47, 68, 64, 49]","[81, 89, 90, 87, 71, 73, 77, 85, 82, 76, 75]","[99, 100, 98, 91, 93]",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[33],[],"[83, 79]",0,"{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[2],[],"[80, 72]",0,"{'red': 0, 'blue': 2, 'green': 3, 'white': 1, 'black': 2, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[34, 10]",0,"{'red': 4, 'blue': 2, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[35],[],[88]
"{'red': 2, 'blue': 5, 'green': 2, 'white': 3, 'black': 4, 'auto_color': 2}","[37, 7, 21, 40]","[60, 58, 63, 46]","[78, 86, 74, 81]","[92, 97, 96, 94, 95]","[14, 27, 26, 13, 31, 25, 1, 29, 19, 4, 18, 36, 16, 6, 23, 30, 17, 28, 3, 5, 15, 22, 38, 39, 9, 11, 24, 8, 32]","[70, 53, 41, 52, 69, 66, 59, 45, 56, 65, 50, 54, 62, 51, 48, 67, 55, 43, 42, 44, 57, 61, 47, 68, 64, 49]","[89, 90, 87, 71, 73, 77, 85, 82, 76, 75]","[99, 100, 98, 91, 93]",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 4, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[33],[],"[83, 79]",0,"{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[2],[],"[80, 72, 84]",0,"{'red': 0, 'blue': 2, 'green': 2, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",[20],[],"[34, 10]",0,"{'red': 4, 'blue': 0, 'green': 3, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","[35, 12]",[],[88]
"{'red': 0, 'blue': 0, 'green': 1, 'white': 3, 'black': 1, 'auto_color': 2}","[37, 7, 21, 40]","[60, 58, 63, 46]","[78, 86, 74, 81]","[92, 97, 96, 94, 95]","[14, 27, 26, 13, 31, 25, 1, 29, 19, 4, 18, 36, 16, 6, 23, 30, 17, 28, 3, 5, 15, 22, 38, 39, 9, 11, 24, 8, 32]","[70, 53, 41, 52, 69, 66, 59, 45, 56, 65, 50, 54, 62, 51, 48, 67, 55, 43, 42, 44, 57, 61, 47, 68, 64, 49]","[89, 90, 87, 71, 73, 77, 85, 82, 76, 75]","[99, 100, 98, 91, 93]",1,"{'red': 0, 'blue': 2, 'green': 0, 'white': 4, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[33],[],"[83, 79]",0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 1, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[2],[],"[80, 72, 84]",0,"{'red': 1, 'blue': 3, 'green': 2, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",[20],[],"[34, 10]",0,"{'red': 5, 'blue': 1, 'green': 3, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 0}","[35, 12]",[],[88]
"{'red': 3, 'blue': 0, 'green': 1, 'white': 2, 'black': 1, 'auto_color': 2}","[37, 14, 21, 40]","[60, 58, 63, 46]","[78, 86, 74, 81]","[92, 97, 96, 94, 95]","[27, 26, 13, 31, 25, 1, 29, 19, 4, 18, 36, 16, 6, 23, 30, 17, 28, 3, 5, 15, 22, 38, 39, 9, 11, 24, 8, 32]","[70, 53, 41, 52, 69, 66, 59, 45, 56, 65, 50, 54, 62, 51, 48, 67, 55, 43, 42, 44, 57, 61, 47, 68, 64, 49]","[89, 90, 87, 71, 73, 77, 85, 82, 76, 75]","[99, 100, 98, 91, 93]",1,"{'red': 0, 'blue': 2, 'green': 0, 'white': 4, 'black': 2, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[33],[],"[83, 79]",0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 1, 'auto_color': 3}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[2],[],"[80, 72, 84]",0,"{'red': 0, 'blue': 3, 'green': 3, 'white': 1, 'black': 3, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",[20],[],"[34, 10]",0,"{'red': 3, 'blue': 1, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","[35, 12, 7]",[],[88]
