Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,NA 2 Score,NA 2 Stocks,NA 2 Stocks Const,NA 2 Open,NA 2 Noble,NA 2 Upsite Down,Trang 4 Score,Trang 4 Stocks,Trang 4 Stocks Const,Trang 4 Open,Trang 4 Noble,Trang 4 Upsite Down,Thao 1 Score,Thao 1 Stocks,Thao 1 Stocks Const,Thao 1 Open,Thao 1 Noble,Thao 1 Upsite Down,Hieu 3 Score,Hieu 3 Stocks,Hieu 3 Stocks Const,Hieu 3 Open,Hieu 3 Noble,Hieu 3 Upsite Down
"{'red': 7, 'blue': 7, 'green': 7, 'white': 7, 'black': 7, 'auto_color': 5}","[4, 17, 19, 8]","[42, 48, 63, 41]","[89, 85, 87, 73]","[94, 93, 96, 99, 100]","[28, 23, 14, 13, 39, 31, 37, 5, 29, 25, 27, 1, 24, 30, 26, 16, 36, 7, 2, 38, 32, 35, 33, 6, 22, 3, 18, 40, 15, 10, 11, 21, 34, 20, 12, 9]","[51, 52, 70, 43, 64, 58, 69, 57, 68, 54, 61, 46, 49, 67, 45, 47, 60, 59, 62, 56, 65, 53, 66, 55, 44, 50]","[77, 72, 79, 90, 80, 74, 82, 84, 88, 81, 75, 76, 83, 86, 71, 78]","[91, 97, 92, 98, 95]",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 3, 'blue': 5, 'green': 6, 'white': 7, 'black': 6, 'auto_color': 4}","[4, 17, 19, 8]","[51, 48, 63, 41]","[89, 85, 87, 73]","[94, 93, 96, 99, 100]","[28, 23, 14, 13, 39, 31, 37, 5, 29, 25, 27, 1, 24, 30, 26, 16, 36, 7, 2, 38, 32, 35, 33, 6, 22, 3, 18, 40, 15, 10, 11, 21, 34, 20, 12, 9]","[52, 70, 43, 64, 58, 69, 57, 68, 54, 61, 46, 49, 67, 45, 47, 60, 59, 62, 56, 65, 53, 66, 55, 44, 50]","[77, 72, 79, 90, 80, 74, 82, 84, 88, 81, 75, 76, 83, 86, 71, 78]","[91, 97, 92, 98, 95]",0,"{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[42],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 2, 'blue': 1, 'green': 4, 'white': 7, 'black': 5, 'auto_color': 3}","[4, 17, 19, 8]","[51, 52, 63, 41]","[89, 85, 87, 73]","[94, 93, 96, 99, 100]","[28, 23, 14, 13, 39, 31, 37, 5, 29, 25, 27, 1, 24, 30, 26, 16, 36, 7, 2, 38, 32, 35, 33, 6, 22, 3, 18, 40, 15, 10, 11, 21, 34, 20, 12, 9]","[70, 43, 64, 58, 69, 57, 68, 54, 61, 46, 49, 67, 45, 47, 60, 59, 62, 56, 65, 53, 66, 55, 44, 50]","[77, 72, 79, 90, 80, 74, 82, 84, 88, 81, 75, 76, 83, 86, 71, 78]","[91, 97, 92, 98, 95]",0,"{'red': 1, 'blue': 2, 'green': 1, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 48]",0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 0, 'blue': 0, 'green': 1, 'white': 5, 'black': 5, 'auto_color': 3}","[4, 17, 19, 8]","[51, 52, 63, 41]","[89, 85, 87, 73]","[94, 93, 96, 99, 100]","[28, 23, 14, 13, 39, 31, 37, 5, 29, 25, 27, 1, 24, 30, 26, 16, 36, 7, 2, 38, 32, 35, 33, 6, 22, 3, 18, 40, 15, 10, 11, 21, 34, 20, 12, 9]","[70, 43, 64, 58, 69, 57, 68, 54, 61, 46, 49, 67, 45, 47, 60, 59, 62, 56, 65, 53, 66, 55, 44, 50]","[77, 72, 79, 90, 80, 74, 82, 84, 88, 81, 75, 76, 83, 86, 71, 78]","[91, 97, 92, 98, 95]",0,"{'red': 2, 'blue': 3, 'green': 1, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 48]",0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 3, 'blue': 2, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[]
"{'red': 4, 'blue': 1, 'green': 1, 'white': 3, 'black': 5, 'auto_color': 3}","[23, 17, 19, 8]","[51, 52, 63, 41]","[89, 85, 87, 73]","[94, 93, 96, 99, 100]","[14, 13, 39, 31, 37, 5, 29, 25, 27, 1, 24, 30, 26, 16, 36, 7, 2, 38, 32, 35, 33, 6, 22, 3, 18, 40, 15, 10, 11, 21, 34, 20, 12, 9]","[70, 43, 64, 58, 69, 57, 68, 54, 61, 46, 49, 67, 45, 47, 60, 59, 62, 56, 65, 53, 66, 55, 44, 50]","[77, 72, 79, 90, 80, 74, 82, 84, 88, 81, 75, 76, 83, 86, 71, 78]","[91, 97, 92, 98, 95]",0,"{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[4],[],[],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 48]",0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 2, 'green': 3, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",[28],[],[]
"{'red': 5, 'blue': 0, 'green': 1, 'white': 2, 'black': 5, 'auto_color': 3}","[14, 17, 19, 8]","[51, 52, 63, 41]","[89, 85, 87, 73]","[94, 93, 96, 99, 100]","[13, 39, 31, 37, 5, 29, 25, 27, 1, 24, 30, 26, 16, 36, 7, 2, 38, 32, 35, 33, 6, 22, 3, 18, 40, 15, 10, 11, 21, 34, 20, 12, 9]","[70, 43, 64, 58, 69, 57, 68, 54, 61, 46, 49, 67, 45, 47, 60, 59, 62, 56, 65, 53, 66, 55, 44, 50]","[77, 72, 79, 90, 80, 74, 82, 84, 88, 81, 75, 76, 83, 86, 71, 78]","[91, 97, 92, 98, 95]",0,"{'red': 1, 'blue': 2, 'green': 1, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[4],[],[],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 48]",0,"{'red': 0, 'blue': 2, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",[23],[],[],0,"{'red': 1, 'blue': 2, 'green': 4, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",[28],[],[]
"{'red': 2, 'blue': 0, 'green': 4, 'white': 1, 'black': 5, 'auto_color': 3}","[14, 17, 19, 8]","[51, 52, 70, 41]","[89, 85, 87, 73]","[94, 93, 96, 99, 100]","[13, 39, 31, 37, 5, 29, 25, 27, 1, 24, 30, 26, 16, 36, 7, 2, 38, 32, 35, 33, 6, 22, 3, 18, 40, 15, 10, 11, 21, 34, 20, 12, 9]","[43, 64, 58, 69, 57, 68, 54, 61, 46, 49, 67, 45, 47, 60, 59, 62, 56, 65, 53, 66, 55, 44, 50]","[77, 72, 79, 90, 80, 74, 82, 84, 88, 81, 75, 76, 83, 86, 71, 78]","[91, 97, 92, 98, 95]",0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",[4],[],[],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 48]",0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",[23],[],[],2,"{'red': 1, 'blue': 2, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 2, 'white': 0, 'black': 0}","[28, 63]",[],[]
"{'red': 2, 'blue': 0, 'green': 3, 'white': 1, 'black': 5, 'auto_color': 3}","[13, 17, 19, 8]","[51, 52, 70, 41]","[89, 85, 87, 73]","[94, 93, 96, 99, 100]","[39, 31, 37, 5, 29, 25, 27, 1, 24, 30, 26, 16, 36, 7, 2, 38, 32, 35, 33, 6, 22, 3, 18, 40, 15, 10, 11, 21, 34, 20, 12, 9]","[43, 64, 58, 69, 57, 68, 54, 61, 46, 49, 67, 45, 47, 60, 59, 62, 56, 65, 53, 66, 55, 44, 50]","[77, 72, 79, 90, 80, 74, 82, 84, 88, 81, 75, 76, 83, 86, 71, 78]","[91, 97, 92, 98, 95]",0,"{'red': 1, 'blue': 1, 'green': 0, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","[4, 14]",[],[],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 48]",0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",[23],[],[],2,"{'red': 2, 'blue': 3, 'green': 1, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 2, 'white': 0, 'black': 0}","[28, 63]",[],[]
"{'red': 1, 'blue': 0, 'green': 2, 'white': 0, 'black': 3, 'auto_color': 3}","[13, 17, 39, 8]","[51, 52, 70, 41]","[89, 85, 87, 73]","[94, 93, 96, 99, 100]","[31, 37, 5, 29, 25, 27, 1, 24, 30, 26, 16, 36, 7, 2, 38, 32, 35, 33, 6, 22, 3, 18, 40, 15, 10, 11, 21, 34, 20, 12, 9]","[43, 64, 58, 69, 57, 68, 54, 61, 46, 49, 67, 45, 47, 60, 59, 62, 56, 65, 53, 66, 55, 44, 50]","[77, 72, 79, 90, 80, 74, 82, 84, 88, 81, 75, 76, 83, 86, 71, 78]","[91, 97, 92, 98, 95]",0,"{'red': 2, 'blue': 1, 'green': 1, 'white': 3, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","[4, 14]",[],[],0,"{'red': 1, 'blue': 2, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 48]",0,"{'red': 2, 'blue': 2, 'green': 2, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 0}",[23],[],[],2,"{'red': 1, 'blue': 2, 'green': 0, 'white': 2, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 2, 'white': 0, 'black': 0}","[28, 63, 19]",[],[]
"{'red': 2, 'blue': 0, 'green': 3, 'white': 3, 'black': 5, 'auto_color': 3}","[37, 5, 39, 8]","[51, 52, 70, 41]","[89, 85, 87, 73]","[94, 93, 96, 99, 100]","[29, 25, 27, 1, 24, 30, 26, 16, 36, 7, 2, 38, 32, 35, 33, 6, 22, 3, 18, 40, 15, 10, 11, 21, 34, 20, 12, 9]","[43, 64, 58, 69, 57, 68, 54, 61, 46, 49, 67, 45, 47, 60, 59, 62, 56, 65, 53, 66, 55, 44, 50]","[77, 72, 79, 90, 80, 74, 82, 84, 88, 81, 75, 76, 83, 86, 71, 78]","[91, 97, 92, 98, 95]",0,"{'red': 2, 'blue': 0, 'green': 1, 'white': 1, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 2, 'black': 1}","[4, 14, 13]",[],[],0,"{'red': 0, 'blue': 3, 'green': 3, 'white': 2, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"[42, 48]",0,"{'red': 2, 'blue': 2, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 2, 'green': 0, 'white': 0, 'black': 0}","[23, 17]",[],[],2,"{'red': 1, 'blue': 2, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 3, 'white': 0, 'black': 0}","[28, 63, 19, 31]",[],[]
